Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,16992.504,203910.05,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost_Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,78.93,947.16,USD,Number of NAT Gateways (1)
Increased_Cost_Estimate,US East (N. Virginia),,Application Load Balancer,0,73.81,885.72,USD,Number of Application Load Balancers (2)
Increased_Cost_Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,6666.504,79998.05,USD,"Storage for each RDS instance (Provisioned IOPS SSD (io1)), Storage amount (5 TB), Additional backup storage (10 TB), Provisioning IOPS (1000), Quantity (2), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (Reserved 1yr No Upfront)"
Increased_Cost_Estimate,US East (N. Virginia),,Amazon EC2,0,7554.3,90651.60,USD,"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (2 TB), Instance type (c5.12xlarge), Provisioning IOPS io1 (1000)"
Increased_Cost_Estimate,US East (N. Virginia),,S3 Standard,0,117.76,1413.12,USD,S3 Standard storage (5 TB per month)
Increased_Cost_Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Increased_Cost_Estimate,US East (N. Virginia),,Amazon Route 53,0,2501.2,30014.40,USD,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
